restaurant_id,restaurant_name,num_collection,num_review,num_category_restaurant,num_revisit,influential_review_score,score
PLHANGCt_TNxoF34WRWvEw,갓포우오,26,2112,343,88,0,3025
nSn7tandULvO_oXW5gIEFw,고우가 여의도점,93,1778,142,124,7,3012
Kr9j3AOXu2aW_rCPW3yjjg,우정초밥,58,1201,501,200,0,2992
xxDGYDrwUVwaaUM-R9uVBw,스시하쿠야,33,960,501,234,180,2976
XGZ4Ldt3lvBgj3V-4rxIsQ,스케줄 성수,40,1914,486,66,0,2930
7YDg2g4TxcuMPb-Eds2nKQ,쿠촐로 서울,75,1420,486,122,0,2891
Y3qnq-yvDkIvYs-GHEnj3A,스시신카이,91,613,501,213,246,2880
Istq6njsenN7vNCYvb_hUg,요수정,29,1188,486,202,31,2860
nJrQtC4cqHgQhQzoPWkrnw,스시키요시,152,501,501,214,27,2859
bqNXYzXD1UOzmSEZIWc2mg,BOME CHEONGDAM(보메 청담),56,1644,486,86,6,2846
X0U7REvF5SSk9J3eucfTgg,미트컬쳐,19,1844,129,148,29,2837
PBULtavT1ifWCrpFyJZdiA,스시소라 광교점,25,1225,501,194,0,2821
5T62LUm-8k5FWX6BF37eKQ,이태리재,31,1651,486,104,4,2816
ioyxlr8pMEXxcKmlqL4q_Q,디핀 옥수,51,1634,125,136,110,2804
4iBA5oAMGKZ9RlCtJ_Dz-Q,미우,59,629,406,186,534,2794
rRBP1l5Hq-85O-9kCVZC4Q,Goni,92,823,501,180,109,2793
eocTF-aO8Chsyj0H_xTVBg,스시히로아키,79,1350,501,105,13,2784
Rgkh_M7vsim8eJbKVHhaGQ,스시미츠,37,1337,501,152,0,2783
akFM2q0sXKe6zLkrAlHKYA,스시코우,45,1417,501,121,17,2765
GANCwzahF1wJOWg_CGcHxA,스키야키 타카,48,1388,307,164,9,2764
JAykdVcYkXzHn2yHcvdgkw,스시소라 마포점,31,1724,501,70,12,2742
DnKdEoOsuMpKiiQUWqhoxA,시오(SIIO),238,1001,104,72,79,2734
